country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website,year,month,day,month_ab,month_name
Georgia,GEO,2021-03-21,,,,,328.0,,,,82.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",National Center for Disease Control and Public Health,https://vaccines.ncdc.ge/vaccinationprocess/,2021,3,21,Mar,March
Ukraine,UKR,2021-10-27,16793558.0,9576175.0,7238063.0,291985.0,239485.0,38.64,22.03,16.65,5510.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://health-security.rnbo.gov.ua,2021,10,27,Oct,October
Saudi Arabia,SAU,2021-01-12,,,,,15117.0,,,,428.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.who.int/,2021,1,12,Jan,January
Cuba,CUB,2021-07-12,7618028.0,3073310.0,1926776.0,110622.0,122706.0,67.31,27.16,17.02,10842.0,"Abdala, Soberana Plus, Soberana02",Ministry of Health,https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,2021,7,12,Jul,July
Malaysia,MYS,2021-06-01,3142335.0,2023457.0,1118884.0,99969.0,75859.0,9.59,6.17,3.41,2314.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Malaysia,https://github.com/MoH-Malaysia/covid19-public,2021,6,1,Jun,June
Liechtenstein,LIE,2021-12-04,51846.0,25783.0,25181.0,0.0,177.0,135.53,67.4,65.83,4627.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=FL,2021,12,4,Dec,December
Burkina Faso,BFA,2022-01-12,,,,,7399.0,,,,344.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2022,1,12,Jan,January
Uzbekistan,UZB,2021-04-24,,,,,20364.0,,,,600.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik Light, Sputnik V, ZF2001",World Health Organization,https://covid19.who.int/,2021,4,24,Apr,April
British Virgin Islands,VGB,2021-06-11,19534.0,12245.0,7289.0,,231.0,64.21,40.25,23.96,7593.0,"Johnson&Johnson, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/,2021,6,11,Jun,June
Tunisia,TUN,2021-04-19,239398.0,197437.0,41961.0,13498.0,10472.0,2.01,1.65,0.35,877.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Ministry of Health,https://web.facebook.com/santetunisie.rns.tn/posts/339797681524034?__cft__[0]=AZUiZe_DZCgQaUfW53dSTtXxKD5Vmq3M4OkNzKUMnMjzyKYqwPgH6EV-do3PCuT4TqokRZFYjLLshZ87APo1I0dbZHgTHn-95N8CB7Crpo5q1AShf3f9AQYWATKZCptNluocUhFJ8tKk3Z4cIg3qRVhQ&__tn__=%2CO%2CP-R,2021,4,19,Apr,April
Slovenia,SVN,2021-12-24,2735361.0,1248297.0,1185426.0,3364.0,11826.0,131.59,60.05,57.03,5689.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via covid-19.sledilnik.org,https://covid-19.sledilnik.org/sl/stats,2021,12,24,Dec,December
Chad,TCD,2021-09-25,,,,,3042.0,,,,180.0,Sinopharm/Beijing,Africa Centres for Disease Control and Prevention,https://covid19.who.int/,2021,9,25,Sep,September
Northern Cyprus,OWID_CYN,2021-09-16,,,,,4485.0,,,,11734.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://asi.saglik.gov.ct.tr/,2021,9,16,Sep,September
Qatar,QAT,2022-02-19,6198407.0,,,,18081.0,211.51,,,6170.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,2022,2,19,Feb,February
Sao Tome and Principe,STP,2022-01-20,,,,,844.0,,,,3779.0,Oxford/AstraZeneca,World Health Organization,https://africacdc.org/covid-19-vaccination/,2022,1,20,Jan,January
Iran,IRN,2021-08-06,,,,,448160.0,,,,5271.0,"COVIran Barekat, Covaxin, FAKHRAVAC, Oxford/AstraZeneca, Razi Cov Pars, Sinopharm/Beijing, Soberana02, SpikoGen, Sputnik V",World Health Organization,https://irangov.ir/detail/383414,2021,8,6,Aug,August
England,OWID_ENG,2022-03-21,117974253.0,44352481.0,41423568.0,27958.0,31673.0,208.62,78.43,73.25,560.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2022,3,21,Mar,March
Pitcairn,PCN,2021-08-30,,,,,0.0,,,,0.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2021,8,30,Aug,August
India,IND,2021-05-30,208665123.0,165598013.0,43067110.0,1576170.0,2420840.0,14.98,11.88,3.09,1737.0,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/,2021,5,30,May,May
Croatia,HRV,2021-06-13,2139816.0,1413933.0,725833.0,,33735.0,52.43,34.64,17.78,8265.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr,2021,6,13,Jun,June
Albania,ALB,2021-11-25,2081782.0,1067769.0,953489.0,7112.0,6859.0,72.46,37.17,33.19,2387.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-2754244-vaksinime/,2021,11,25,Nov,November
Bangladesh,BGD,2021-06-04,,,,,10258.0,,,,62.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php,2021,6,4,Jun,June
Liberia,LBR,2022-02-19,,,,,2522.0,,,,487.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,2022,2,19,Feb,February
Nicaragua,NIC,2021-03-13,,,,,1401.0,,,,209.0,"Abdala, Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Soberana02, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/,2021,3,13,Mar,March
India,IND,2021-09-13,750284569.0,570046655.0,180237914.0,10006433.0,8833001.0,53.85,40.91,12.94,6339.0,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/,2021,9,13,Sep,September
Turkmenistan,TKM,2021-07-06,,,,,41369.0,,,,6762.0,"EpiVacCorona, Oxford/AstraZeneca, QazVac, Sinopharm/Beijing, Sputnik V, ZF2001",World Health Organization,https://covid19.who.int/,2021,7,6,Jul,July
Sri Lanka,LKA,2021-04-04,924479.0,924479.0,,,4347.0,4.3,4.3,,202.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_vaccination/covid_vaccination_2022-03_22.pdf,2021,4,4,Apr,April
Germany,DEU,2021-09-09,104167701.0,55360637.0,51616082.0,256451.0,188275.0,124.16,65.98,61.52,2244.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/,2021,9,9,Sep,September
Romania,ROU,2021-12-18,15579924.0,,7718704.0,28320.0,32284.0,81.45,,40.35,1688.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania via datelazi.ro,https://datelazi.ro/,2021,12,18,Dec,December
Venezuela,VEN,2021-07-08,,,,,150833.0,,,,5255.0,"Abdala, Sinopharm/Beijing, Sinovac, Soberana02, Sputnik Light, Sputnik V",Pan American Health Organization,https://covid19.who.int/,2021,7,8,Jul,July
United Kingdom,GBR,2021-02-08,13162878.0,12646486.0,516392.0,356291.0,431338.0,19.3,18.54,0.76,6324.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2021,2,8,Feb,February
Northern Ireland,OWID_NIR,2021-05-17,1568045.0,1000928.0,567117.0,11213.0,11846.0,82.7,52.79,29.91,6248.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2021,5,17,May,May
Egypt,EGY,2021-06-28,4282641.0,3502181.0,780460.0,29244.0,32764.0,4.11,3.36,0.75,314.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/,2021,6,28,Jun,June
Bolivia,BOL,2021-08-16,5096306.0,3463528.0,2095325.0,60273.0,45252.0,43.07,29.27,17.71,3824.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via https://www.boligrafica.com/,https://github.com/dquintani/vacunacion/,2021,8,16,Aug,August
Lithuania,LTU,2021-02-12,154892.0,99288.0,55604.0,7342.0,4150.0,5.76,3.69,2.07,1543.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/,2021,2,12,Feb,February
Maldives,MDV,2021-09-30,731796.0,392315.0,339481.0,1283.0,722.0,134.62,72.17,62.45,1328.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1503053275741913088,2021,9,30,Sep,September
Palestine,PSE,2021-08-07,1031495.0,608155.0,,226.0,3430.0,19.75,11.64,,657.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/,2021,8,7,Aug,August
Turkey,TUR,2022-02-20,144850157.0,57623451.0,52715583.0,50627.0,120434.0,170.33,67.76,61.99,1416.0,"Pfizer/BioNTech, Sinovac, Turkovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/,2022,2,20,Feb,February
China,CHN,2021-09-18,2174043000.0,1100842000.0,1022207000.0,4026000.0,4494714.0,150.53,76.22,70.78,3112.0,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202203/d81d339daf694f97952f10d9d8604143.shtml,2021,9,18,Sep,September
Belize,BLZ,2021-04-25,,,,,721.0,,,,1781.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,4,25,Apr,April
Finland,FIN,2021-05-08,,,,,34358.0,,,,6192.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov,2021,5,8,May,May
Mauritius,MUS,2021-10-16,,,,,3317.0,,,,2605.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://africacdc.org/covid-19-vaccination/,2021,10,16,Oct,October
Taiwan,TWN,2021-06-08,743578.0,743578.0,,18759.0,30264.0,3.12,3.12,,1269.0,"Medigen, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og,2021,6,8,Jun,June
Jordan,JOR,2021-07-11,4312212.0,2654733.0,1657479.0,,45289.0,41.99,25.85,16.14,4410.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/,2021,7,11,Jul,July
Guatemala,GTM,2021-11-06,8810088.0,5423686.0,3386402.0,22326.0,32441.0,48.27,29.72,18.56,1778.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,11,6,Nov,November
Barbados,BRB,2021-03-27,,,,,370.0,,,,1286.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://gisbarbados.gov.bb/blog/covid-19-update-for-monday-march-28/,2021,3,27,Mar,March
Bahrain,BHR,2021-06-08,1849847.0,1010162.0,839685.0,11286.0,13468.0,105.81,57.78,48.03,7704.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik Light, Sputnik V",Ministry of Health,https://covid19.who.int/,2021,6,8,Jun,June
Saudi Arabia,SAU,2021-02-02,,,,,4148.0,,,,117.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.who.int/,2021,2,2,Feb,February
Kosovo,OWID_KOS,2021-12-13,1644733.0,872196.0,772537.0,375.0,2667.0,92.29,48.94,43.35,1497.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://msh.rks-gov.net/sq/statistikat-covid-19/,2021,12,13,Dec,December
Brazil,BRA,2021-09-10,209917761.0,142382292.0,72173074.0,2407953.0,1405712.0,98.1,66.54,33.73,6569.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",State governments via coronavirusbra1.github.io,https://coronavirusbra1.github.io,2021,9,10,Sep,September
Armenia,ARM,2021-11-26,,,,,17136.0,,,,5773.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/,2021,11,26,Nov,November
Spain,ESP,2021-06-19,,,,,445692.0,,,,9534.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220325.ods,2021,6,19,Jun,June
Montserrat,MSR,2022-01-12,,,,,38.0,,,,7629.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,2022,1,12,Jan,January
New Zealand,NZL,2021-09-06,3971443.0,2619111.0,1352251.0,67176.0,77385.0,77.47,51.09,26.38,15096.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,2021,9,6,Sep,September
Kazakhstan,KAZ,2021-06-23,4611224.0,2857255.0,1753969.0,86027.0,77576.0,24.28,15.04,9.23,4084.0,"QazVac, Sinopharm/Beijing, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/,2021,6,23,Jun,June
Romania,ROU,2021-06-28,8913454.0,4698815.0,4503114.0,19220.0,23638.0,46.6,24.57,23.54,1236.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania via datelazi.ro,https://datelazi.ro/,2021,6,28,Jun,June
Gibraltar,GIB,2021-09-03,78961.0,39729.0,39232.0,,21.0,234.37,117.92,116.45,623.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Gibraltar,https://twitter.com/GibraltarGov/status/1507008369005015050,2021,9,3,Sep,September
Poland,POL,2021-08-01,34463736.0,18357076.0,17498174.0,33780.0,99084.0,91.18,48.57,46.3,2621.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,2021,8,1,Aug,August
Dominican Republic,DOM,2021-08-21,10841175.0,5723752.0,4540737.0,15314.0,27021.0,98.97,52.25,41.45,2467.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/,2021,8,21,Aug,August
Greenland,GRL,2021-06-28,35751.0,25298.0,10453.0,,486.0,62.87,44.49,18.38,8546.0,Moderna,Government of Greenland,https://corona.nun.gl,2021,6,28,Jun,June
Bermuda,BMU,2021-09-09,,,,,75.0,,,,1208.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,9,9,Sep,September
Monaco,MCO,2021-10-21,,,,,158.0,,,,3998.0,Pfizer/BioNTech,National Council,https://en.gouv.mc/Policy-Practice/Social-Affairs-and-Health/News/Minister-of-State-visits-those-working-to-combat-COVID,2021,10,21,Oct,October
Bahrain,BHR,2021-08-11,2398427.0,1122139.0,1067589.0,10338.0,8105.0,137.19,64.18,61.06,4636.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik Light, Sputnik V",Ministry of Health,https://covid19.who.int/,2021,8,11,Aug,August
Czechia,CZE,2021-05-14,4138081.0,3046284.0,1114972.0,86267.0,69097.0,38.59,28.4,10.4,6443.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19,2021,5,14,May,May
Mongolia,MNG,2021-08-13,4232784.0,2216191.0,2016593.0,8204.0,4923.0,127.14,66.57,60.57,1479.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/,2021,8,13,Aug,August
Cayman Islands,CYM,2021-02-09,13609.0,8839.0,4770.0,,450.0,20.47,13.29,7.17,6767.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/,2021,2,9,Feb,February
Guyana,GUY,2021-03-30,,,,,1432.0,,,,1812.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,3,30,Mar,March
Haiti,HTI,2021-10-28,,,,,1204.0,,,,104.0,"Johnson&Johnson, Moderna",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,10,28,Oct,October
Syria,SYR,2021-12-22,,,,,30562.0,,,,1672.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/,2021,12,22,Dec,December
Isle of Man,IMN,2021-05-20,80356.0,61170.0,19186.0,1056.0,448.0,94.08,71.62,22.46,5245.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,2021,5,20,May,May
Bulgaria,BGR,2021-12-17,3577712.0,,1868873.0,17655.0,13295.0,51.88,,27.1,1928.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika,2021,12,17,Dec,December
Bahrain,BHR,2021-10-17,2708159.0,1171032.0,1133745.0,8054.0,6790.0,154.9,66.98,64.85,3884.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik Light, Sputnik V",Ministry of Health,https://covid19.who.int/,2021,10,17,Oct,October
United Arab Emirates,ARE,2021-08-26,17909062.0,8485738.0,7417604.0,65999.0,48950.0,179.25,84.93,74.24,4899.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,https://fcsc.gov.ae/en-us/Pages/Covid19/UAE-Covid-19-Updates.aspx,2021,8,26,Aug,August
Guinea-Bissau,GNB,2021-08-22,,,,,44.0,,,,22.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2021,8,22,Aug,August
Zambia,ZMB,2021-06-04,,,,,93.0,,,,5.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Government of Zambia,https://rtc-planning.maps.arcgis.com/apps/dashboards/3b3a01c1d8444932ba075fb44b119b63,2021,6,4,Jun,June
Uzbekistan,UZB,2022-01-21,,,,,3947.0,,,,116.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik Light, Sputnik V, ZF2001",World Health Organization,https://covid19.who.int/,2022,1,21,Jan,January
Guernsey,GGY,2021-05-23,59491.0,,,,398.0,93.86,,,6279.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats,2021,5,23,May,May
Guernsey,GGY,2021-06-10,72387.0,,,,637.0,114.2,,,10050.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats,2021,6,10,Jun,June
Finland,FIN,2022-02-17,11394702.0,,4211395.0,12198.0,9936.0,205.37,,75.9,1791.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov,2022,2,17,Feb,February
Brazil,BRA,2021-10-30,279265141.0,159518249.0,115897379.0,578428.0,1518092.0,130.5,74.54,54.16,7094.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",State governments via coronavirusbra1.github.io,https://coronavirusbra1.github.io,2021,10,30,Oct,October
Nicaragua,NIC,2021-06-19,,,,,4431.0,,,,661.0,"Abdala, Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Soberana02, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/,2021,6,19,Jun,June
Democratic Republic of Congo,COD,2022-01-28,,,,,8568.0,,,,93.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,2022,1,28,Jan,January
Bahamas,BHS,2021-11-09,,,,,970.0,,,,2444.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,11,9,Nov,November
Cyprus,CYP,2021-01-11,,,,,566.0,,,,632.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5,2021,1,11,Jan,January
Equatorial Guinea,GNQ,2021-12-23,,,,,20.0,,,,14.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/,2021,12,23,Dec,December
Taiwan,TWN,2021-11-04,25851240.0,17399450.0,8451790.0,73176.0,257501.0,108.37,72.94,35.43,10794.0,"Medigen, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og,2021,11,4,Nov,November
Oman,OMN,2021-08-08,,,,,51282.0,,,,9818.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/,2021,8,8,Aug,August
Greece,GRC,2021-01-20,109831.0,108167.0,1664.0,15377.0,6414.0,1.06,1.04,0.02,618.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/,2021,1,20,Jan,January
Somalia,SOM,2021-12-14,,,,,16414.0,,,,1003.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/,2021,12,14,Dec,December
Turkey,TUR,2021-01-20,1052493.0,,,101858.0,150356.0,1.24,,,1768.0,"Pfizer/BioNTech, Sinovac, Turkovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/,2021,1,20,Jan,January
Germany,DEU,2021-12-07,130373215.0,60251921.0,57607950.0,1097822.0,898341.0,155.39,71.81,68.66,10707.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/,2021,12,7,Dec,December
